EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
36310268,GPS 365 EB,30.1553358,72.6815187,Nominatim-reverse (station)
39330085,GES CHAK NO. 16/1-AL,30.8782508,73.5998771,Nominatim-reverse (unclassified)
39310403,GPS CHISHTI MOLIA,30.6691771,73.6513733,Nominatim-reverse (tertiary)
39320147,GGES SOBAY WALA,30.80528,73.4442836,Nominatim-reverse (station)
39320499,GGPS 36-A/G.D,30.80528,73.4442836,Nominatim-reverse (station)
39330731,GGPS KALLI JAMAL SINGH (PSSP),30.8782508,73.5998771,Nominatim-reverse (unclassified)
35450436,GPS DONGAY,31.7313228,73.577162,Nominatim-reverse (tertiary)
35620213,GGES RAHMAN ABAD,31.7313228,73.577162,Nominatim-reverse (tertiary)
35420720,GPS KAMBOH COLONY,31.8010863,74.2540999,Nominatim-reverse (residential)
35620614,GPS CHAK JAID 16 JAID,31.7313228,73.577162,Nominatim-reverse (tertiary)
35420117,GGES HERDO SEHOLE MUSLIM,31.8010863,74.2540999,Nominatim-reverse (residential)
33340199,GES CHAK 319 GB I,30.6478,72.51244,Manual (Google Maps)
33320089,GGES CHAK 706 GB,,,Not Geocoded (no coordinates available)
33310319,GMPS CHAK 161 GB I,,,Not Geocoded (no coordinates available)
33310170,GHS CHAK 361 JB,30.910778,72.580153,Manual (Google Maps)
33340414,GGPS CHAK 752 GB,,,Not Geocoded (no coordinates available)
38420606,GGES CHAK NO.29 NB,32.0836514,72.676461,Nominatim-reverse (station)
38430251,GMPS BUSLANA,32.2691358,72.4717312,Nominatim-reverse (residential)
38450476,GMPS BOHLRI WALA,31.9729496,72.3296061,Nominatim-reverse (residential)
38420348,GPS CHAK NO.93 SB,32.0836514,72.676461,Nominatim-reverse (station)
38450058,GES PUBLIC SAHIWAL,31.9729496,72.3296061,Nominatim-reverse (residential)
37240376,GGPS RAMDIAL,33.0279237,73.6010809,Nominatim-reverse (trunk)
37220251,GGMPS ESSAWAL,32.5939485,73.0459834,Nominatim-reverse (station)
37240038,GGHS ROHTAS,33.0279237,73.6010809,Nominatim-reverse (trunk)
37220189,GGMPS SHER PUR,32.5939485,73.0459834,Nominatim-reverse (station)
37230252,GGPS CHABBER SYEDAN,33.132055,73.4180866,Nominatim-reverse (trunk)
35220419,GGES MODEL BAGH MUNSHI LADHA.,31.5831841,74.3184836,Nominatim-reverse (living_street)
35210018,GHS AWAMI COLONY CHUNGI AMER SIDHU LAHORE,31.4729999,74.3108542,Nominatim-reverse (tertiary)
35220514,GMMS PARACHA COLONY,31.5831841,74.3184836,Nominatim-reverse (living_street)
35220117,GES MUGHLIA PARK SHAHDARA LAHORE,31.5831841,74.3184836,Nominatim-reverse (living_street)
35210242,GES ITTEHAD TOWN DOGACH,31.5221005,74.3790353,Nominatim-reverse (attraction)
36110191,GPS MC AWAN PURA,30.1823296,71.4654311,Nominatim-reverse (station)
36130129,GGES BASTI JALIL MULTAN P/O BASTI JALIL,,,Not Geocoded (no coordinates available)
36120213,GGPS NAWAN SHER SHUJABAD DISTT. MULTAN,,,Not Geocoded (no coordinates available)
36110319,GGPS RAILWAY COLONY NO: 2,30.1823296,71.4654311,Nominatim-reverse (station)
36130150,GPS KOTLA SADAT,,,Not Geocoded (no coordinates available)
38240666,GGPS DHOK PHATIAL,,,Not Geocoded (no coordinates available)
38210737,GGPS MOHALLAH MASTIAL PADHRAR,32.2903666,72.3515792,Nominatim-reverse (residential)
38220306,GPS CHAK NO. 34 MB,31.8800081,71.9012116,Nominatim-reverse (primary)
38230581,GGES SHAH WALA SHUMALI,32.3390586,71.8817521,Nominatim-reverse (unclassified)
38210266,GMPS CHAK NO 60 MB,32.2903666,72.3515792,Nominatim-reverse (residential)
34220811,GHSS BAGIRAN WALA,32.8100237,73.8663245,Nominatim-reverse (unclassified)
34210207,GPS KALARA KHASA,32.5627852,74.064535,Nominatim-reverse (station)
34210069,GGHS KUNJAH,32.5627852,74.064535,Nominatim-reverse (station)
34210184,GGHS GILLAN WALA,32.5627852,74.064535,Nominatim-reverse (station)
34220439,GGPS KHAIR GHANSAR,32.8100237,73.8663245,Nominatim-reverse (unclassified)
35610189,GPS KOT MUHAMMAD HUSSAIN,31.4548712,73.7090967,Nominatim-reverse (station)
35641050,GGPS DERA SHAHBAZ KHAN,31.7169296,73.3760623,Nominatim-reverse (primary)
